,title,price,link
10,"MSI Thin 15, Intel Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR 4GB /Cosmos Gray/1.86Kg), B12UCX-1695IN  ","46,950",https://amazon.in//MSI-i5-12450H-Windows-GeForce-B12UCX-1695IN/dp/B0CV9S9VTD/ref=sr_1_35?crid=XFGU4EUBZF6J&dib=eyJ2IjoiMSJ9.ctAfKQDYSo0em2hatwhIb10ZSYlT9AgTOPcQTGOgpoamjU4I7eWDfqz5D_m5fe7UGjAXgNhgLpTs24sOFAJHgAcLTzu7pbqx1EzAw0V1oOu03eqsyKTSq_Opg96zohtqg6qH_cdoL-DufN_PGBIW2xvyoQ-W1IR3ItJJnzYde0qBX6HA0gymX9sN1t17OERmjNgFMMMtMki0xEOui3oP1y0WgwEosTsEVuY6RQM-bG4.s7uLZj76c1ncfO5lqcPPkmGA5RVQWWpDjO7t_EdsX68&dib_tag=se&keywords=laptop&qid=1729690049&sprefix=laptop%2Caps%2C293&sr=8-35
11,"Acer Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/16 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG  ","26,990",https://amazon.in//Acer-Premium-Windows-AL15-41-Display/dp/B0CWTYGPH8/ref=sr_1_36?crid=XFGU4EUBZF6J&dib=eyJ2IjoiMSJ9.ctAfKQDYSo0em2hatwhIb10ZSYlT9AgTOPcQTGOgpoamjU4I7eWDfqz5D_m5fe7UGjAXgNhgLpTs24sOFAJHgAcLTzu7pbqx1EzAw0V1oOu03eqsyKTSq_Opg96zohtqg6qH_cdoL-DufN_PGBIW2xvyoQ-W1IR3ItJJnzYde0qBX6HA0gymX9sN1t17OERmjNgFMMMtMki0xEOui3oP1y0WgwEosTsEVuY6RQM-bG4.s7uLZj76c1ncfO5lqcPPkmGA5RVQWWpDjO7t_EdsX68&dib_tag=se&keywords=laptop&qid=1729690049&sprefix=laptop%2Caps%2C293&sr=8-36
12,"Acer Nitro V Gaming Laptop AMD Ryzen 7-7735HS with RTX 4050 6 GB Graphics (16 GB DDR5/512GB SSD/Windows 11 Home/Wi-Fi 6/144Hz) ANV15-41, 15.6"" FHD Display, 2.1 KG  ","74,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxMjA0NjY5MTg3NjcyNjQwOjE3Mjk2OTAwNDk6c3BfYnRmOjMwMDM0NDAzNDYyNzYzMjo6MDo6&url=%2FAcer-7-7735HS-Graphics-Windows-ANV15-41%2Fdp%2FB0DFWRZLK5%2Fref%3Dsr_1_37_sspa%3Fcrid%3DXFGU4EUBZF6J%26dib%3DeyJ2IjoiMSJ9.ctAfKQDYSo0em2hatwhIb10ZSYlT9AgTOPcQTGOgpoamjU4I7eWDfqz5D_m5fe7UGjAXgNhgLpTs24sOFAJHgAcLTzu7pbqx1EzAw0V1oOu03eqsyKTSq_Opg96zohtqg6qH_cdoL-DufN_PGBIW2xvyoQ-W1IR3ItJJnzYde0qBX6HA0gymX9sN1t17OERmjNgFMMMtMki0xEOui3oP1y0WgwEosTsEVuY6RQM-bG4.s7uLZj76c1ncfO5lqcPPkmGA5RVQWWpDjO7t_EdsX68%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729690049%26sprefix%3Dlaptop%252Caps%252C293%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
13,"Acer Nitro V Gaming Laptop AMD Ryzen 7-7735HS with RTX 3050 6 GB Graphics (16 GB DDR5/512GB SSD/Windows 11 Home/Wi-Fi 6/144Hz) ANV15-41, 15.6"" FHD Display, 2.1 KG  ","65,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxMjA0NjY5MTg3NjcyNjQwOjE3Mjk2OTAwNDk6c3BfYnRmOjMwMDM0NDAzNDYyNzUzMjo6MDo6&url=%2FAcer-7-7735HS-Graphics-Windows-ANV15-41%2Fdp%2FB0DFWVTQQ7%2Fref%3Dsr_1_38_sspa%3Fcrid%3DXFGU4EUBZF6J%26dib%3DeyJ2IjoiMSJ9.ctAfKQDYSo0em2hatwhIb10ZSYlT9AgTOPcQTGOgpoamjU4I7eWDfqz5D_m5fe7UGjAXgNhgLpTs24sOFAJHgAcLTzu7pbqx1EzAw0V1oOu03eqsyKTSq_Opg96zohtqg6qH_cdoL-DufN_PGBIW2xvyoQ-W1IR3ItJJnzYde0qBX6HA0gymX9sN1t17OERmjNgFMMMtMki0xEOui3oP1y0WgwEosTsEVuY6RQM-bG4.s7uLZj76c1ncfO5lqcPPkmGA5RVQWWpDjO7t_EdsX68%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729690049%26sprefix%3Dlaptop%252Caps%252C293%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
14,"KALP A5 Self-love Gratitude Journal + 2 posters & Pocket Diary, suitable for all ages - Invest few minutes each day to be more Happy, Positive, Productive & Mindful, 128 pages, 100 GSM (Choose Love)  ",659,https://amazon.in/https://aax-eu.amazon.in/x/c/JN-Pfs5UdSSqXSy08fUrKyQAAAGSuY-ccAMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICCFHhC6/https://www.amazon.in/KALP-Self-love-Gratitude-Journal-suitable/dp/B0CS6QYLPM/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.0e800d3e-a8c4-466c-97dc-d089e27309f1%3Aamzn1.sym.0e800d3e-a8c4-466c-97dc-d089e27309f1&crid=XFGU4EUBZF6J&cv_ct_cx=laptop&dib=eyJ2IjoiMSJ9.0rImhpskkyT5hUYcrPve5Q.iSU8qjHzBF7NTszdhJ111d5kDJ9cgWHvKOvGk_PZ-AE&dib_tag=se&keywords=laptop&pd_rd_i=B0CS6QYLPM&pd_rd_r=e4dc6ba5-e95e-4e95-9276-94e3fda42d94&pd_rd_w=NlAYG&pd_rd_wg=A1q4d&pf_rd_p=0e800d3e-a8c4-466c-97dc-d089e27309f1&pf_rd_r=481BXZJ82A5B28F83W8R&qid=1729690049&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=laptop%2Caps%2C293&sr=1-17-06195d41-65bd-48f4-8e70-03d97b6094ec
15,"Apple 2024 MacBook Air 15â€³ Laptop with M3 chip: 38.91 cm (15.3â€³) Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Starlight  ","1,22,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTozNzMzOTEwMDMzMDA0MTk0OjE3Mjk2OTAwNTc6c3BfYXRmX25leHQ6MzAwMzUwNjk4MzEzMjMyOjowOjo&url=%2FApple-2024-MacBook-Laptop-chip%2Fdp%2FB0CX21SWG9%2Fref%3Dsr_1_33_sspa%3Fcrid%3DXFGU4EUBZF6J%26dib%3DeyJ2IjoiMSJ9.PSp8Vf187VgcX0RLgYt_84T1iPXGHlFWbJ1orfMdILccqP9hWrRd9DGXUCd35T-6WejI2qg0-8qS4AkKcqvufP01kZ0bjfbxJPsfoOxm19sOrXjwlLabsVzMzn89GTYgGFsJ9H_6e7nopNKLPhAEYijxDYqw1SQceKrvUsrgyGD39Ne92V7bixl2COjTaOp-cDC7RrgdRSyQ2aoRRYVosbtlSaUFPrE0eNESHxcqzYo.9PndZT6oqBLSaHJFGiGGr7mk5NQld5cy3x2Qt76j0ZQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729690057%26sprefix%3Dlaptop%252Caps%252C293%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
16,"Apple 2024 MacBook Air 13â€³ Laptop with M3 chip: 34.46 cm (13.6â€³) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Starlight  ","1,39,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTozNzMzOTEwMDMzMDA0MTk0OjE3Mjk2OTAwNTc6c3BfYXRmX25leHQ6MzAwMzUwNjk4MzEyODMyOjowOjo&url=%2FApple-2024-MacBook-Laptop-chip%2Fdp%2FB0CX23FSQL%2Fref%3Dsr_1_34_sspa%3Fcrid%3DXFGU4EUBZF6J%26dib%3DeyJ2IjoiMSJ9.PSp8Vf187VgcX0RLgYt_84T1iPXGHlFWbJ1orfMdILccqP9hWrRd9DGXUCd35T-6WejI2qg0-8qS4AkKcqvufP01kZ0bjfbxJPsfoOxm19sOrXjwlLabsVzMzn89GTYgGFsJ9H_6e7nopNKLPhAEYijxDYqw1SQceKrvUsrgyGD39Ne92V7bixl2COjTaOp-cDC7RrgdRSyQ2aoRRYVosbtlSaUFPrE0eNESHxcqzYo.9PndZT6oqBLSaHJFGiGGr7mk5NQld5cy3x2Qt76j0ZQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729690057%26sprefix%3Dlaptop%252Caps%252C293%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
17,"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 14"" (35.5cm) FHD 250 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 21/1Yr ADP Free/Alexa built-in/3 mon. Game Pass/Grey/1.37Kg), 83EQ005VIN  ","49,190",https://amazon.in//Lenovo-IdeaPad-i5-12450H-35-5cm-83EQ005VIN/dp/B0D6MPVN7B/ref=sr_1_35?crid=XFGU4EUBZF6J&dib=eyJ2IjoiMSJ9.PSp8Vf187VgcX0RLgYt_84T1iPXGHlFWbJ1orfMdILccqP9hWrRd9DGXUCd35T-6WejI2qg0-8qS4AkKcqvufP01kZ0bjfbxJPsfoOxm19sOrXjwlLabsVzMzn89GTYgGFsJ9H_6e7nopNKLPhAEYijxDYqw1SQceKrvUsrgyGD39Ne92V7bixl2COjTaOp-cDC7RrgdRSyQ2aoRRYVosbtlSaUFPrE0eNESHxcqzYo.9PndZT6oqBLSaHJFGiGGr7mk5NQld5cy3x2Qt76j0ZQ&dib_tag=se&keywords=laptop&qid=1729690057&sprefix=laptop%2Caps%2C293&sr=8-35
18,"ASUS TUF Gaming A15, Ryzen 7 7435HS, 15.6-inch (39.62 cm) FHD 144Hz, Gaming Laptop (16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050/Windows 11/48WHr/Graphite Black/2.3 Kg), FA506NCR-HN054W  ","60,990",https://amazon.in//ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J/ref=sr_1_36?crid=XFGU4EUBZF6J&dib=eyJ2IjoiMSJ9.PSp8Vf187VgcX0RLgYt_84T1iPXGHlFWbJ1orfMdILccqP9hWrRd9DGXUCd35T-6WejI2qg0-8qS4AkKcqvufP01kZ0bjfbxJPsfoOxm19sOrXjwlLabsVzMzn89GTYgGFsJ9H_6e7nopNKLPhAEYijxDYqw1SQceKrvUsrgyGD39Ne92V7bixl2COjTaOp-cDC7RrgdRSyQ2aoRRYVosbtlSaUFPrE0eNESHxcqzYo.9PndZT6oqBLSaHJFGiGGr7mk5NQld5cy3x2Qt76j0ZQ&dib_tag=se&keywords=laptop&qid=1729690057&sprefix=laptop%2Caps%2C293&sr=8-36
19,"NSXEEN Portable Laptop Stand, Aluminum Adjustable Eye-Level Ergonomic Height Compatible for MacBook Notebook Computer PC iPad Tablet, Ultra-Thin Light Weight Desktop Notebook Holder Riser I Silver- Pack Of 1 |  ",449,https://amazon.in/https://aax-eu.amazon.in/x/c/JB_WghwbgS5NHeKZIaO40FkAAAGSuY95ygMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICChJTeX/https://www.amazon.in/Adjustable-Eye-Level-Ergonomic-Compatible-Ultra-Thin/dp/B087RQ2N8F/ref=sxin_13_sbv_search_btf?content-id=amzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151%3Aamzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151&crid=XFGU4EUBZF6J&cv_ct_cx=laptop&dib=eyJ2IjoiMSJ9.Q0eFSZNO1d3sW4ePyvva8w.wJMUFfxz76usj2w_b7tfsIZIfX4CG-zSNhIrCqlkIqw&dib_tag=se&keywords=laptop&pd_rd_i=B087RQ2N8F&pd_rd_r=1c54f4cf-ec1c-4888-a3a3-39b00d8b9f4c&pd_rd_w=SQXPa&pd_rd_wg=zjShL&pf_rd_p=288d7cd9-bdfb-4778-882a-c15de0f76151&pf_rd_r=40W801EFS8XRT6HR36BA&qid=1729690040&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=laptop%2Caps%2C293&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81
